Date,AMD,AMD_10D,AMD_20D,AMD_30D,AMD_50D,AMD_100D,AMD_200D,C,C_10D,C_20D,C_30D,C_50D,C_100D,C_200D,CL,CL_10D,CL_20D,CL_30D,CL_50D,CL_100D,CL_200D,COP,COP_10D,COP_20D,COP_30D,COP_50D,COP_100D,COP_200D
1/3/2007,19.52,20.892,21.0465,21.202,21.1426,22.8918,25.5296,552.5,553.5,535.99,524.4933,516.264,505.381,494.99,32.84,32.57,32.712,32.7608,32.3836,31.4223,30.5724,51.9826,54.7186,54.161,52.5948,50.3574,48.5882,49.1051
1/4/2007,19.79,20.674,20.984,21.1467,21.136,22.8896,25.4578,550.6,553.12,538.52,525.9133,517.294,506.09,495.373,32.88,32.5985,32.7,32.7567,32.4338,31.4522,30.5943,50.3665,54.2284,54.1156,52.6804,50.4368,48.5727,49.1271
1/5/2007,19.71,20.481,20.9025,21.089,21.1254,22.8889,25.3841,547.7,552.66,540.65,527.26,518.124,506.803,495.7505,32.73,32.617,32.697,32.748,32.4853,31.4819,30.614,51.3956,53.8008,54.0901,52.7973,50.5391,48.5654,49.1573
1/8/2007,19.47,20.243,20.8015,21.03,21.1084,22.8849,25.3096,550.5,552.55,542.785,528.74,519.04,507.536,496.1195,32.855,32.644,32.6933,32.7293,32.5377,31.5122,30.6332,52.0665,53.4806,54.0676,52.8984,50.6443,48.5767,49.1871
1/9/2007,19.65,20.113,20.7315,20.9593,21.0848,22.8727,25.2341,545.7,552.36,544.715,530.0067,519.78,508.152,496.4595,32.84,32.6935,32.6945,32.7117,32.5728,31.5401,30.654,50.7019,53.0567,53.9464,52.9498,50.7016,48.5731,49.2077
1/10/2007,20.01,20.037,20.6855,20.8997,21.055,22.8471,25.1535,541.3,551.94,545.855,531.28,520.44,508.712,496.7755,33.02,32.766,32.7055,32.7128,32.6054,31.5714,30.6746,49.1925,52.5597,53.6982,52.9559,50.7371,48.5566,49.2182
1/11/2007,20.18,19.995,20.66,20.8447,21.0414,22.8069,25.0778,541.7,550.99,546.5,532.7067,521.202,509.272,497.102,33.15,32.831,32.7158,32.7343,32.6353,31.6078,30.696,47.1266,51.8073,53.3578,52.8956,50.7467,48.5226,49.2133
1/12/2007,18.26,19.751,20.5495,20.7223,20.9802,22.7502,24.9986,543.8,548.96,547.565,534.3133,522.054,509.85,497.441,33.42,32.921,32.7445,32.7637,32.6657,31.647,30.72,48.6589,51.1738,53.0998,52.8682,50.8082,48.503,49.2136
1/16/2007,18.13,19.507,20.4475,20.613,20.9174,22.6975,24.9178,547.7,547.85,548.79,535.95,522.976,510.478,497.798,33.43,32.9785,32.777,32.7923,32.6946,31.685,30.743,47.8813,50.4222,52.7876,52.7757,50.8474,48.4721,49.2061
1/17/2007,18.2,19.292,20.222,20.5007,20.8668,22.6307,24.8409,543.9,546.54,549.43,537.55,523.836,511.075,498.1535,33.275,33.044,32.7983,32.8173,32.72,31.7233,30.7637,48.4455,49.7818,52.4248,52.6804,50.9061,48.4451,49.2025
1/18/2007,17.92,19.132,20.012,20.4083,20.8082,22.5609,24.7647,543.9,545.68,549.59,539.22,524.766,511.656,498.5115,33.24,33.084,32.827,32.836,32.7492,31.7596,30.7872,47.7289,49.3564,52.0375,52.5594,50.9504,48.4193,49.2005
1/19/2007,17.73,18.926,19.8,20.298,20.7452,22.4906,24.6874,545,545.12,549.12,540.72,525.748,512.234,498.866,33.425,33.1385,32.8685,32.8462,32.781,31.798,30.8097,48.7504,49.1948,51.7116,52.4753,50.9959,48.4044,49.1987
1/22/2007,17.53,18.708,19.5945,20.171,20.668,22.4203,24.6079,546.8,545.03,548.845,542.11,526.64,512.838,499.1895,33.26,33.1915,32.9043,32.8618,32.8056,31.8367,30.8313,48.3159,48.8868,51.3438,52.3556,51.0314,48.3822,49.192
1/23/2007,17.51,18.512,19.3775,20.0383,20.587,22.3562,24.5216,544.9,544.47,548.51,543.3467,527.442,513.375,499.501,33.16,33.222,32.933,32.8695,32.8188,31.8738,30.8522,49.5279,48.633,51.0568,52.256,51.0921,48.3766,49.1859
1/24/2007,16.03,18.15,19.1315,19.871,20.4826,22.2725,24.4282,548.3,544.73,548.545,544.72,528.294,513.932,499.85,33.245,33.2625,32.978,32.8838,32.8337,31.909,30.8733,50.0235,48.5651,50.8109,52.1526,51.1416,48.3837,49.1797
1/25/2007,16.05,17.754,18.8955,19.7083,20.3858,22.1827,24.34,539.3,544.53,548.235,545.4133,528.958,514.373,500.1635,33,33.2605,33.0133,32.8905,32.8432,31.9408,30.8945,48.8342,48.5293,50.5445,51.9753,51.1531,48.388,49.1724
1/26/2007,16.22,17.358,18.6765,19.5593,20.2888,22.095,24.2483,546.7,545.03,548.01,546.01,529.766,514.905,500.5005,33.09,33.2545,33.0428,32.8953,32.8526,31.9724,30.9154,49.3755,48.7542,50.2807,51.8233,51.1787,48.3982,49.1651
