Date,SPX,10D,20D,30D,50D,100D,200D
1/3/2007,1416.6,1420.4,1417.41,1410.84,1398.68,1359.39,1318.81
1/4/2007,1418.34,1419.99,1417.88,1411.41,1399.67,1360.86,1319.37
1/5/2007,1409.71,1418.4,1417.62,1411.72,1400.32,1362.29,1319.93
1/8/2007,1412.84,1417.33,1417.62,1412.06,1401.03,1363.73,1320.47
1/9/2007,1412.11,1416.71,1417.86,1412.26,1401.63,1365,1321.03
1/10/2007,1414.85,1417.12,1418.11,1412.72,1402.15,1366.19,1321.59
1/11/2007,1423.82,1417.81,1418.65,1414.12,1403.08,1367.45,1322.2
1/12/2007,1430.73,1418.2,1419.61,1415.58,1404.13,1368.74,1322.88
1/16/2007,1431.9,1418.92,1420.54,1416.66,1405.21,1370.08,1323.53
1/17/2007,1430.62,1420.15,1420.8,1417.66,1406.47,1371.4,1324.18
1/18/2007,1426.37,1421.13,1420.76,1418.65,1407.65,1372.73,1324.84
1/19/2007,1430.5,1422.35,1421.17,1419.37,1408.97,1374.08,1325.5
1/22/2007,1422.95,1423.67,1421.04,1419.64,1409.84,1375.36,1326.09
1/23/2007,1427.99,1425.19,1421.26,1420.14,1410.74,1376.62,1326.67
1/24/2007,1440.13,1427.99,1422.35,1421.24,1411.83,1377.98,1327.32
1/25/2007,1423.9,1428.89,1423.01,1421.71,1412.74,1379.17,1327.97
1/26/2007,1422.18,1428.73,1423.27,1422.01,1413.56,1380.36,1328.59
1/29/2007,1420.62,1427.72,1422.96,1422.31,1414.29,1381.45,1329.26
1/30/2007,1428.82,1427.41,1423.17,1422.83,1415,1382.61,1329.97
1/31/2007,1438.24,1428.17,1424.16,1423.26,1415.83,1383.99,1330.71
2/1/2007,1445.94,1430.13,1425.63,1423.89,1416.76,1385.51,1331.52
2/2/2007,1448.39,1431.92,1427.13,1424.75,1417.7,1387,1332.22
2/5/2007,1446.99,1434.32,1429,1425.46,1418.63,1388.48,1332.91
2/6/2007,1448,1436.32,1430.75,1426.28,1419.54,1389.83,1333.59
2/7/2007,1450.02,1437.31,1432.65,1427.34,1420.41,1391.15,1334.28
2/8/2007,1448.31,1439.75,1434.32,1428.59,1421.36,1392.47,1334.98
2/9/2007,1438.06,1441.34,1435.03,1429.29,1422.48,1393.65,1335.66
2/12/2007,1433.37,1442.61,1435.17,1429.51,1423.42,1394.77,1336.3
2/13/2007,1444.26,1444.16,1435.78,1430.16,1424.31,1396.03,1336.98
2/14/2007,1455.3,1445.86,1437.02,1431.4,1425.41,1397.33,1337.7
2/15/2007,1456.81,1446.95,1438.54,1432.74,1426.61,1398.72,1338.46
2/16/2007,1455.54,1447.67,1439.79,1433.98,1427.54,1400.13,1339.17
2/20/2007,1459.68,1448.94,1441.63,1435.64,1428.43,1401.46,1339.93
2/21/2007,1457.63,1449.9,1443.11,1437.14,1429.33,1402.67,1340.66
2/22/2007,1456.38,1450.53,1443.92,1438.61,1430.31,1403.87,1341.31
2/23/2007,1451.19,1450.82,1445.29,1439.82,1431.14,1404.99,1341.94
2/26/2007,1449.37,1451.95,1446.65,1440.67,1431.86,1406.13,1342.56
2/27/2007,1399.04,1448.52,1445.57,1439.62,1431.61,1406.8,1342.94
2/28/2007,1406.82,1444.78,1444.47,1438.78,1431.49,1407.53,1343.45
3/1/2007,1403.17,1439.56,1442.71,1437.87,1431.04,1408.06,1344.01
3/2/2007,1387.17,1432.6,1439.78,1436.56,1430.24,1408.4,1344.47
3/5/2007,1374.12,1424.46,1436.06,1434.68,1429.27,1408.65,1344.88
3/6/2007,1395.41,1418.03,1433.48,1433.76,1428.67,1409.09,1345.51
3/7/2007,1391.97,1411.46,1430.68,1432.56,1428.04,1409.48,1346.16
3/8/2007,1401.89,1406.02,1428.27,1431.29,1427.71,1410,1346.83
3/9/2007,1402.85,1401.18,1426,1430.58,1427.55,1410.4,1347.54
3/12/2007,1406.6,1396.9,1424.43,1430.07,1427.35,1410.81,1348.29
3/13/2007,1377.95,1394.79,1421.66,1428.64,1426.37,1410.9,1348.88
3/14/2007,1387.17,1392.83,1418.8,1427.25,1425.62,1411.13,1349.45
3/15/2007,1392.28,1391.74,1415.65,1425.72,1425.1,1411.39,1350.02
3/16/2007,1386.95,1391.72,1412.16,1423.76,1424.51,1411.59,1350.65
3/19/2007,1402.06,1394.51,1409.48,1422.21,1424.18,1411.93,1351.31
3/20/2007,1410.94,1396.06,1407.05,1421.01,1424.2,1412.26,1351.94
3/21/2007,1435.04,1400.37,1405.92,1420.58,1424.65,1412.84,1352.67
3/22/2007,1434.54,1403.64,1404.83,1420.06,1425.1,1413.36,1353.52
3/23/2007,1436.11,1406.96,1404.07,1419.66,1425.52,1413.83,1354.38
3/26/2007,1437.5,1410.05,1403.48,1419.64,1425.8,1414.44,1355.29
3/27/2007,1428.61,1415.12,1404.96,1419.48,1425.75,1414.94,1356.14
3/28/2007,1417.23,1418.12,1405.48,1418.58,1425.46,1415.34,1356.96
3/29/2007,1422.53,1421.15,1406.45,1417.48,1425.3,1415.88,1357.89
3/30/2007,1420.86,1424.54,1408.13,1416.29,1425.19,1416.42,1358.88
4/2/2007,1424.55,1426.79,1410.65,1415.25,1425.07,1417.02,1359.85
4/3/2007,1437.77,1429.47,1412.77,1414.52,1425.37,1417.6,1360.76
4/4/2007,1439.37,1429.91,1415.14,1413.91,1425.59,1418.17,1361.7
4/5/2007,1443.76,1430.83,1417.23,1413.49,1425.67,1418.75,1362.72
4/9/2007,1444.61,1431.68,1419.32,1413.27,1426.08,1419.41,1363.74
4/10/2007,1448.39,1432.77,1421.41,1413.24,1426.6,1420.08,1364.72
4/11/2007,1438.87,1433.79,1424.46,1414.57,1426.97,1420.63,1365.69
4/12/2007,1447.8,1436.85,1427.49,1415.94,1427.35,1421.17,1366.7
4/13/2007,1452.85,1439.88,1430.52,1417.59,1427.64,1421.74,1367.72
4/16/2007,1468.47,1444.64,1434.59,1420.3,1428.09,1422.42,1368.86
4/17/2007,1471.48,1449.34,1438.06,1423.55,1428.55,1423.13,1369.99
4/18/2007,1472.5,1452.81,1441.14,1426.12,1429.06,1423.85,1370.99
4/19/2007,1470.73,1455.95,1442.93,1428.74,1429.52,1424.53,1371.99
4/20/2007,1484.35,1460.01,1445.42,1431.49,1430.2,1425.31,1373.01
4/23/2007,1480.93,1463.64,1447.66,1434.09,1430.86,1426.11,1374.06
